post_no,expected_comment_count
309490,1
304600,2
304578,3
302668,4
302642,1
302514,5
302500,2
302381,12
302356,2
213358,10
213357,3
213356,2
213355,6
213354,3
213352,1
213348,18
213347,5
213344,1
213343,1
213340,3
213339,14
213338,6
213336,11
213333,10
213332,1
213331,2
213328,7
213327,1
213326,5
213325,1
213324,5
213323,2
213322,1
213318,9
213317,2
213316,1
213314,8
213312,1
213311,4
213307,1
213304,11
213303,1
213300,1
213298,2
213297,4
213295,3
213294,4
213293,1
213292,1
213291,3
213285,1
213284,2
213283,7
213281,12
213279,1
213278,10
213277,2
213274,3
213273,1
213269,20
213268,2
213266,1
213265,4
213263,1
213262,1
213261,8
213260,1
213259,3
213256,2
213255,4
213254,4
213249,5
213248,2
213247,6
213246,1
213244,6
213240,1
213239,23
213238,2
213237,1
213233,1
213231,4
213230,1
213228,3
213227,6
213226,6
213225,4
213221,5
213220,2
213218,2
213214,16
213213,1
213210,2
213205,7
213202,1
213194,5
213193,4
213187,1
213186,2
213184,3
213183,2
213181,7
213180,6
213178,6
213177,5
213174,2
213169,2
213167,1
213166,4
213164,2
213162,1
213161,3
213160,3
213159,1
213158,1
213155,1
213154,6
213153,2
213151,6
213150,4
213149,3
213148,1
213146,1
213145,7
213144,4
213143,4
213141,6
213140,6
213139,12
213138,6
213137,3
213136,2
213135,1
213134,4
213130,1
213129,4
213128,1
213127,1
213126,2
213123,1
213122,4
213121,4
213120,2
213118,6
213116,3
213115,7
213114,4
213113,4
213110,3
213108,6
213107,2
213106,1
213104,6
213103,11
213102,3
213100,13
213098,1
213097,2
213094,1
213093,2
213090,4
213088,2
213087,2
213086,2
213085,8
213083,6
213081,11
213077,4
213076,6
213069,5
213065,2
213058,7
213053,3
213052,5
213049,1
213045,1
213043,6
213042,8
213040,5
213036,6
213034,2
213033,3
213030,5
213029,1
213028,2
213018,1
213017,3
213016,14
213010,1
213009,3
213008,1
213007,9
213003,7
213001,1
212997,5
212996,2
212995,5
212992,8
212978,2
212977,7
212973,2
212972,1
212961,4
212957,2
212954,4
212953,1
212952,4
212948,1
212945,1
212941,2
212928,3
212927,2
212926,1
212922,1
212921,9
212917,7
212916,2
212914,3
212911,6
212909,4
212903,3
212902,7
212897,1
212657,1
212625,13
210940,4
210912,2
210677,5
210663,2
210477,6
210457,1
209723,4
206797,10
206776,1
206502,5
205461,2
205085,8
205054,2
204759,5
204733,7
204430,4
204412,2
204386,1
204383,1
204380,2
204362,3
204360,1
204346,15
204320,3
204304,7
204301,8
204293,3
204289,4
204284,7
204283,3
204277,3
204276,1
204245,4
204218,6
204214,3
204212,10
204202,2
204199,1
204198,20
204197,23
204196,4
204195,1
204188,8
204184,7
204183,1
204182,23
204178,5
204176,11
204175,6
204166,1
204165,1
204161,2
204158,8
204157,3
204156,9
204154,3
204152,1
204149,8
204144,13
204142,5
204141,3
204140,3
204131,2
204125,15
204124,3
204123,4
204113,12
204105,12
204104,8
204102,10
204098,7
204097,4
204096,9
204088,3
204086,2
204085,5
204084,1
204083,5
204078,1
204077,2
204074,2
204072,1
204067,1
204066,1
204061,2
204053,8
204052,13
204051,5
204049,5
204048,1
204046,1
204044,5
