post_no,expected_comment_count
309836,0
309835,0
309834,0
309833,0
309832,0
309830,0
309828,1
309827,0
309825,0
309824,0
309823,0
309822,1
309821,0
309820,0
309819,4
309818,4
309817,5
309816,2
309815,0
309814,3
309813,0
309812,0
309811,2
309810,3
309809,0
309808,6
309807,2
309806,2
309803,2
309802,8
309801,1
309799,1
309798,5
309797,1
309796,0
309795,0
309793,1
309792,2
309791,0
309790,1
309789,0
309788,5
309787,5
309786,1
309785,1
309784,3
309783,3
309782,1
309781,1
309780,0
309779,2
309778,2
309777,0
309776,0
309775,3
309774,1
309773,2
309772,5
309769,8
309768,5
309767,1
309766,0
309765,2
309764,0
309762,6
309761,0
309759,4
309758,2
309756,3
309754,23
309753,1
309752,2
309751,4
309750,0
309748,0
309747,1
309745,2
309744,1
309743,0
309742,0
309741,0
309740,1
309739,2
309738,5
309736,2
309735,0
309734,1
309732,2
309731,5
309730,2
309727,3
309726,2
309725,1
309724,2
309723,1
309722,2
309721,2
309720,0
309719,3
309718,2
309717,4
309716,0
309715,11
309714,0
309713,1
309712,3
309710,2
309709,4
309708,1
309707,0
309706,2
309704,3
309703,1
309700,7
309698,0
309697,0
309695,2
309694,6
309693,1
309692,5
309691,4
309689,0
309688,1
309687,2
309686,0
309685,1
309684,0
309683,1
309680,1
309676,0
309674,2
309672,0
309671,17
309670,0
309669,2
309668,1
309666,1
309665,12
309664,0
309662,0
309661,0
309660,0
309658,1
309657,3
309656,0
309655,1
309654,2
309652,0
309651,2
309650,0
309649,7
309647,0
309646,0
309645,2
309644,1
309643,0
309641,1
309640,0
309638,9
309637,1
309636,5
309635,0
309633,1
309632,0
309631,0
309630,2
309629,5
309628,6
309627,5
309626,0
309625,0
309624,1
309623,5
309622,12
309621,4
309620,0
309619,5
309618,1
309616,2
309615,0
309614,0
309612,0
309611,1
309610,3
309608,0
309606,3
309605,17
309604,0
309603,7
309602,2
309600,2
309598,5
309597,0
309596,0
309595,0
309594,2
309592,5
309591,3
309590,6
309589,0
309588,2
309587,0
309586,4
309584,1
309583,3
309582,1
309581,2
309580,2
309579,3
309577,3
309576,2
309574,0
309573,3
309572,5
309571,0
309570,0
309569,5
309568,0
309567,2
309566,4
309565,0
309563,0
309562,2
309561,2
309560,4
309559,0
309558,1
309557,3
309555,1
309554,4
309553,0
309552,2
309551,1
309550,1
309549,1
309547,10
309546,0
309545,0
309544,2
309543,1
309542,1
309540,0
309539,0
309538,0
309537,0
309536,0
309535,3
309534,7
309531,4
309530,7
309529,3
309528,2
309527,4
309525,0
309524,1
309523,1
309520,1
309519,0
309518,0
309517,3
309513,1
309511,6
309508,1
309507,0
309506,1
309505,0
309502,3
309501,1
309498,7
309497,3
309496,2
309495,3
309494,0
309493,1
309492,0
309491,1
309490,1
309489,3
309488,3
309487,0
309485,18
309484,1
309483,1
309481,0
309479,2
309478,2
309477,2
309476,5
309475,0
309474,1
309473,2
309472,12
309471,4
309469,1
309468,1
309467,4
309465,0
309464,2
309463,2
309462,0
309459,0
309458,4
309456,0
309454,1
309453,0
309451,1
309449,3
309448,2
309447,5
309446,0
309445,10
309444,2
309443,1
309441,0
309440,1
309439,0
309438,1
309437,3
309436,3
309435,1
309434,8
309431,0
309430,4
309428,1
309427,6
309426,7
309425,1
309424,1
309423,2
309422,1
309421,1
309420,1
309419,1
309418,6
309417,1
309415,11
309414,5
309412,5
309411,0
309410,5
309408,0
309407,1
309405,6
309404,9
309403,5
309402,2
309400,3
309399,3
309398,1
309397,3
309396,2
309395,4
309393,3
309392,3
309391,11
309390,1
309389,0
309387,3
309386,4
309385,4
309384,2
309382,0
309381,2
309380,1
309379,2
309378,0
309376,3
309374,0
309373,0
309371,2
309370,3
309369,2
309368,7
309367,9
309366,1
309365,0
309364,1
309363,0
309362,4
309361,1
309360,5
309359,4
309358,0
309357,0
309356,1
309355,1
309354,4
309353,2
309352,0
309351,6
309350,8
309349,6
309348,4
309347,2
309346,1
309345,3
309344,2
309343,0
309342,2
309341,0
309340,10
309339,1
309338,1
309336,0
309335,1
309334,0
309332,1
309331,3
309330,0
309329,2
309328,6
309326,1
309325,0
309324,3
309323,2
309322,2
309321,2
309320,0
309319,2
309318,0
309317,1
309316,0
309315,2
309314,0
309313,0
309312,6
309310,1
309309,3
309308,0
309307,7
309305,4
309303,0
309302,1
309301,3
309300,2
309299,2
309298,0
309295,0
309294,0
309293,3
309292,0
309291,14
309289,4
309288,7
309287,0
309286,0
309285,0
309284,0
309281,0
309280,2
309279,1
309276,3
309275,0
309274,2
309272,1
309271,0
309270,0
309269,2
309268,0
309266,16
309264,3
309262,4
309261,3
309260,5
309258,1
309257,0
309256,1
309255,4
309254,1
309253,2
309252,1
309251,0
309250,6
309249,0
309248,1
309247,1
309246,2
309245,2
309244,2
309243,6
309240,1
309239,0
309238,3
309237,1
309236,3
309235,0
309234,0
309233,0
309232,2
309231,6
309230,0
309229,1
309228,2
309227,3
309226,3
309225,0
309224,3
309223,0
309222,0
309219,2
309217,2
309215,0
309214,8
309213,1
309212,3
309211,0
309210,20
309209,0
309208,3
309206,2
309205,0
309204,31
309203,5
309200,7
309199,1
309198,0
309197,3
309196,3
309195,1
309194,7
309193,6
309192,12
309191,0
309189,0
309188,0
309187,1
309186,5
309185,2
309184,1
309183,5
309182,2
309181,0
309180,4
309179,11
309178,3
309177,1
309176,2
309175,2
309174,1
309173,9
309172,2
309171,1
309170,0
309169,2
309168,2
309166,3
309165,0
309164,1
309163,1
309162,2
309159,0
309158,0
309157,4
309156,0
309155,2
309154,1
309153,4
309152,2
309151,1
309150,1
309149,5
309148,6
309147,1
309146,0
309145,1
309144,0
309143,4
309142,0
309141,2
309140,4
309139,1
309138,0
309137,0
309135,3
309134,1
309133,2
309132,1
309131,3
309130,3
309129,0
309128,2
309127,5
309125,1
309124,8
309123,0
309122,1
309121,5
309119,0
309117,0
309116,1
309115,1
309114,0
309113,3
309112,3
309111,2
309110,0
309109,2
309108,2
309107,2
309105,0
309104,0
309103,0
309102,1
309101,6
309100,1
309099,2
309098,0
309097,2
309096,0
309095,1
309094,1
309093,1
309092,0
309091,1
309090,1
309087,2
309086,0
309085,1
309084,4
309083,11
309082,1
309081,9
309080,1
309079,2
309078,1
309077,9
309076,0
309075,0
309074,5
309073,7
309071,5
309070,3
309069,3
309068,1
309067,1
309066,3
309065,4
309064,1
309063,1
309062,27
309061,1
309060,3
309059,2
309058,0
309057,2
309056,2
309055,6
309054,2
309052,1
309051,4
309050,2
309049,7
309047,12
309046,0
309044,1
309043,3
309042,11
309041,6
309040,12
309039,0
309038,0
309037,3
309036,0
309035,9
309034,10
309032,1
309031,3
309030,0
309029,6
309028,4
309027,2
309026,0
309023,0
309022,0
309021,3
309020,1
309019,0
309018,0
309016,0
309015,1
309014,1
309013,11
309012,2
309011,1
309010,9
309009,0
309008,5
309007,1
309006,1
309005,2
309004,1
309003,4
309002,1
309001,0
309000,1
308999,0
308998,1
308996,6
308995,4
308994,7
308993,0
308992,0
308991,1
308990,0
308989,0
308988,2
308987,3
308986,4
308985,0
308984,0
308983,3
308982,0
308981,0
308980,0
308977,0
308975,4
308974,1
308973,37
308972,4
308971,0
308969,0
308968,1
308967,0
308966,3
308965,0
308964,3
308963,4
308962,2
308960,0
308959,8
308958,0
308955,4
308954,0
308953,4
308952,0
308951,2
308950,2
308949,5
308948,1
308947,0
308946,0
308945,2
308944,0
308943,0
308942,4
308940,1
308939,1
308937,1
308936,5
308935,0
308933,8
308932,0
308930,8
308929,4
308928,0
308927,1
308925,6
308924,1
308923,2
308922,0
308921,5
308919,1
308918,2
308917,1
308915,1
308914,2
308912,2
308911,1
308910,1
308909,8
308908,3
308907,1
308906,6
308905,5
308904,0
308903,3
308902,7
308901,2
308900,14
308899,1
308898,3
308896,3
308895,0
308894,5
308893,4
308892,3
308891,0
308890,4
308889,1
308888,6
308886,0
308885,1
308884,3
308883,8
308882,0
308881,4
308879,5
308878,1
308877,8
308876,1
308875,3
308874,1
308873,2
308871,0
308870,2
308869,2
308868,12
308867,1
308866,0
308865,1
308864,0
308863,4
308862,2
308861,0
308860,0
308859,1
308858,5
308857,16
308855,1
308854,0
308853,0
308851,0
308850,10
308847,4
308846,0
308845,5
308843,1
308842,1
308840,0
308839,6
308838,2
308837,0
308836,0
308835,13
308834,2
308833,4
308831,3
308830,0
308829,2
308827,19
308826,0
308825,0
308824,0
308823,2
308822,5
308821,0
308820,4
308819,0
308818,5
308817,2
308816,5
308815,0
308814,4
308813,10
308812,0
308811,4
308810,0
308809,1
308808,4
308807,2
308805,5
308804,11
308803,2
308802,3
308801,2
308800,0
308799,2
308798,0
308797,0
308796,0
308795,0
308794,9
308793,4
308791,1
308790,2
308789,6
308788,0
308787,2
308786,0
308785,2
308783,0
308782,1
308781,0
308780,0
308779,0
308778,3
308777,0
308776,3
308775,0
308772,2
308771,1
308770,2
308769,0
308768,2
308767,5
308766,3
308765,4
308764,6
308763,0
308762,34
308760,2
308759,5
308758,4
308757,3
308756,0
308755,1
308754,32
308753,0
308752,0
308751,5
308750,9
308749,1
308748,0
308747,3
308746,8
308745,1
308744,2
308743,0
308742,3
308740,5
308739,3
308738,2
308735,2
308733,4
308732,7
308731,2
308730,2
308729,1
308727,1
308726,3
308725,3
308724,0
308723,1
308722,0
308721,3
308720,3
308719,7
308718,2
308717,1
308716,2
308715,0
308714,11
308713,0
308712,1
308711,0
308710,0
308709,2
308708,1
308706,2
308705,1
308704,1
308701,18
308700,3
308699,11
308698,5
308697,8
308696,1
308695,5
308694,14
308693,8
308692,1
308691,3
308690,7
308689,6
308688,2
308687,0
308686,3
308685,1
308684,7
308683,0
308682,0
308681,2
308680,0
308679,1
308678,2
308677,1
308676,2
308675,3
308674,5
308673,1
308672,2
308671,1
308670,1
308669,0
308668,0
308667,6
308666,8
308665,12
308664,1
308663,2
308662,4
308661,7
308660,1
308659,0
308658,7
308657,1
308655,2
308654,8
308651,2
308648,0
308647,8
308646,5
308645,2
308644,0
308643,3
308642,10
308641,2
308640,0
308639,8
308638,7
308637,2
308636,1
308635,29
308634,0
308633,1
308632,0
308631,6
308630,2
308629,0
308627,6
308626,6
308625,11
308624,0
308623,7
308622,2
308621,8
308619,2
308618,1
308617,9
308616,0
308615,0
308614,2
308613,2
308612,2
308611,0
308610,4
308609,5
308608,7
308607,3
308606,1
308605,0
308603,1
308602,3
308601,0
308600,1
308598,2
308597,6
308596,2
308595,3
308594,1
308593,2
308592,17
308591,0
308589,1
308588,2
308587,0
308586,1
308585,0
308584,0
308583,3
308582,1
308581,4
308580,0
308579,1
308578,3
308576,0
308575,0
308574,2
308573,3
308572,5
308571,3
308570,2
308569,1
308568,0
308567,1
308566,1
308565,1
308564,3
308562,2
308561,7
308560,10
308559,3
308558,0
308557,0
308556,6
308555,1
308554,7
308553,1
308552,0
308551,0
308550,1
308549,3
308548,2
308544,4
308543,0
308541,16
308540,5
308539,1
308537,1
308535,0
308534,1
308531,1
308530,0
308529,4
308528,1
308527,1
308526,1
308525,1
308523,1
308522,4
308521,1
308520,3
308519,0
308518,1
308517,0
308516,0
308515,0
308513,0
308510,1
308509,3
308508,0
308507,4
308506,0
308505,1
308503,1
308502,4
308500,1
308499,2
308498,7
308497,21
308495,2
308493,1
308492,6
308491,0
308490,26
308489,5
308488,6
308487,2
308486,6
308484,4
308482,7
308481,2
308480,6
308479,15
308477,0
308476,13
308475,1
308474,1
308473,5
308472,5
308469,4
308468,0
308467,3
308466,1
308465,0
308461,2
308460,0
308459,11
308458,5
308457,2
308456,0
308454,1
308453,1
308452,1
308451,70
308450,8
308449,1
308448,1
308447,2
308446,1
308445,4
308444,3
308443,5
308442,23
308441,0
308440,6
308439,11
308438,2
308437,0
308436,6
308435,1
308432,1
308431,3
308430,2
308429,2
308428,2
308427,6
308426,1
308425,3
308424,9
308423,1
308422,0
308421,0
308420,7
308419,6
308418,6
308417,0
308415,0
308414,1
308413,3
308412,4
308411,0
308410,0
308409,0
308408,2
308407,0
308406,0
308405,0
308404,1
308403,2
308402,28
308400,0
308398,0
308397,2
308396,17
308395,3
308393,4
308391,0
308390,2
308389,9
308388,8
308387,3
308386,0
308385,1
308384,5
308383,0
308382,2
308380,2
308378,0
308377,3
308375,8
308373,3
308372,8
308370,2
308369,3
308368,3
308367,1
308366,6
308365,0
308364,1
308363,7
308360,2
308359,3
308358,5
308357,2
308356,1
308355,4
308354,0
308353,4
308352,1
308351,2
308349,1
308348,0
308347,1
308346,3
308345,4
308344,2
308343,0
308341,8
308340,0
308339,3
308338,1
308337,3
308336,3
308335,0
308334,8
308333,0
308332,1
308331,2
308330,11
308329,0
308328,4
308327,2
308326,0
308325,18
308323,1
308322,0
308321,5
308320,2
308319,0
308318,1
308317,4
308316,3
308315,4
308314,7
308313,1
308312,1
308311,1
308310,2
308309,4
308307,7
308306,1
308305,1
308304,2
308303,7
308302,2
308301,0
308300,1
308299,3
308298,6
308297,1
308296,2
308295,7
308294,2
308293,10
308292,4
308291,10
308290,2
308288,8
308287,2
308286,0
308285,1
308284,2
308283,0
308282,0
308281,1
308280,5
308277,2
308276,0
308275,7
308274,3
308273,0
308272,0
308271,0
308269,7
308268,2
308267,0
308266,0
308265,14
308264,0
308263,8
308262,0
308261,1
308260,3
308259,6
308258,0
308257,4
308255,3
308254,4
308253,5
308252,8
308251,3
308250,0
308248,1
308247,14
308245,3
308244,0
308243,2
308242,3
308241,0
308240,4
308238,0
308237,7
308236,12
308235,0
308234,0
308232,4
308231,2
308230,0
308229,0
308228,1
308227,5
308226,1
308225,2
308224,6
308223,0
308222,7
308221,0
308220,2
308219,3
308218,1
308217,3
308215,1
308214,3
308212,3
308211,4
308210,10
308208,0
308207,2
308206,1
308204,1
308203,1
308202,0
308201,6
308200,2
308199,3
308198,4
308197,7
308195,2
308193,0
308192,5
308189,2
308187,3
308186,3
308185,4
308184,10
308183,8
308182,0
308181,10
308179,22
308177,3
308176,11
308174,1
308173,5
308172,20
308171,5
308170,2
308169,3
308167,0
308166,6
308165,0
308164,0
308163,4
308162,2
308161,0
308159,0
308157,0
308155,1
308154,4
308153,2
308151,0
308150,0
308149,0
308147,3
308146,3
308145,0
308143,3
308142,1
308141,1
308140,6
308139,3
308138,0
308135,1
308134,0
308133,3
308132,1
308131,2
308130,4
308129,9
308127,3
308126,1
308124,1
308123,2
308122,3
308121,3
308120,0
308119,2
308118,2
308117,0
308116,1
308115,0
308114,0
308112,1
308111,1
308110,6
308109,0
308108,5
308107,4
308106,3
308103,1
308102,7
308097,7
308096,1
308095,7
308093,1
308092,2
308091,1
308090,6
308089,1
308088,0
308087,4
308085,3
308084,5
308083,6
308082,1
308081,2
308079,5
308077,3
308075,0
308074,1
308072,4
308071,5
308070,2
308069,0
308067,0
308066,1
308065,15
308064,3
308063,0
308062,11
308061,5
308060,1
308059,2
308058,2
308057,8
308056,3
308055,0
308054,4
308053,2
308052,7
308051,3
308050,3
308049,1
308048,5
308047,0
308046,9
308045,2
308044,0
308043,0
308041,1
308040,5
308039,9
308038,6
308037,2
308035,2
308034,5
308033,1
308032,0
308031,0
308030,7
308027,10
308026,1
308025,0
308023,9
308022,0
308021,1
308019,0
308018,0
308017,1
308016,0
308015,5
308014,0
308013,1
308012,2
308011,0
308010,10
308008,3
308005,0
308004,1
308003,1
308002,1
308001,0
308000,1
307999,1
307998,2
307997,1
307996,1
307995,2
307994,1
307993,1
307992,2
307991,3
307989,1
307988,1
307986,4
307985,1
307984,5
307981,4
307980,1
307979,0
307978,1
307977,3
307975,2
307974,1
307972,11
307970,2
307969,3
307968,0
307967,2
307966,5
307964,6
307963,3
307962,1
307961,1
307959,0
307958,2
307957,2
307955,0
307954,0
307953,4
307952,3
307951,10
307950,1
307949,7
307948,4
307946,4
307945,1
307944,12
307943,1
307942,4
307941,1
307940,0
307939,2
307938,8
307935,1
307933,4
307932,1
307931,1
307930,3
307928,0
307927,4
307926,27
307925,4
307924,1
307923,22
307922,0
307920,1
307919,2
307918,5
307917,12
307916,8
307915,2
307914,0
307912,0
307911,0
307910,5
307908,1
307907,0
307906,15
307905,3
307904,6
307902,0
307901,5
307900,2
307898,1
307897,0
307895,2
307894,1
307893,0
307891,1
307890,2
307889,10
307888,7
307887,2
307886,2
307882,9
307880,5
307879,5
307877,9
307876,1
307875,6
307874,2
307872,3
307871,4
307870,0
307869,8
307868,1
307867,1
307866,1
307865,4
307864,6
307863,0
307862,0
307861,11
307859,2
307857,1
307855,0
307854,0
307853,0
307851,1
307848,1
307846,0
307845,2
307844,0
307843,7
307842,0
307841,1
307840,3
307839,4
307837,0
307834,12
307833,2
307832,0
307831,1
307830,4
307829,1
307826,5
307824,3
307821,0
307820,1
307819,1
307816,0
307815,0
307813,1
307812,1
307810,25
307809,1
307808,0
307807,0
307806,2
307805,10
307804,2
307803,1
307802,3
307797,5
307796,0
307795,1
307794,0
307793,0
307792,3
307791,0
307790,3
307787,0
307786,10
307785,0
307784,1
307783,0
307782,1
307781,4
307780,0
307779,1
307777,0
307776,2
307775,5
307774,1
307773,2
307772,8
307770,0
307769,0
307768,1
307767,0
307766,0
307764,2
307763,2
307762,0
307760,0
307758,1
307756,0
307755,15
307753,0
307752,7
307751,0
307750,0
307749,1
307748,5
307747,3
307746,2
307742,0
307741,1
307740,0
307739,1
307738,1
307735,3
307733,3
307732,0
307731,2
307730,0
307729,1
307728,1
307727,2
307725,0
307724,1
307723,0
307721,0
307720,2
307719,2
307718,1
307716,3
307715,2
307714,4
307713,0
307711,1
307710,2
307709,3
307708,24
307707,4
307706,2
307704,14
307703,2
307702,1
307701,0
307700,0
307698,9
307697,2
307695,3
307694,0
307693,4
307691,4
307690,3
307688,0
307687,2
307686,3
307684,9
307683,0
307680,0
307677,2
307676,0
307675,2
307674,4
307673,2
307672,0
307671,1
307670,3
307669,2
307668,3
307667,0
307666,0
307665,0
307664,0
307663,4
307662,2
307661,0
307660,1
307659,14
307658,4
307657,2
307656,9
307655,2
307651,0
307650,0
307647,1
307646,7
307645,2
307644,5
307642,2
307641,1
307639,2
307638,6
307637,2
307636,12
307635,2
307634,4
307633,2
307632,3
307631,2
307630,0
307629,3
307627,1
307626,1
307625,0
307623,1
307620,0
307619,2
307617,4
307616,3
307615,2
307614,4
307613,2
307612,1
307611,2
307610,1
307609,2
307608,1
307607,5
307606,2
307605,2
307604,1
307603,3
307602,0
307601,1
307600,1
307599,9
307598,2
307597,1
307596,1
307595,3
307594,6
307593,2
307592,2
307591,3
307590,1
307589,0
307588,1
307587,1
307586,6
307585,5
307584,1
307583,1
307582,9
307581,6
307580,5
307579,2
307578,13
307577,8
307576,1
307575,1
307574,7
307573,1
307572,1
307571,3
307569,1
307568,9
307567,1
307566,0
307565,1
307564,4
307563,2
307562,0
307561,1
307560,0
307559,0
307558,1
307557,3
307556,2
307555,7
307554,1
307553,1
307552,4
307551,3
307550,4
307549,0
307548,0
307547,0
307546,0
307545,3
307544,0
307543,3
307542,2
307541,4
307540,1
307539,3
307538,0
307536,12
307535,2
307534,4
307533,0
307531,2
307530,0
307528,17
307527,1
307526,2
307525,10
307524,3
307523,2
307522,0
307521,2
307520,5
307519,5
307518,4
307517,3
307516,1
307515,6
307514,0
307513,0
307511,9
307510,2
307509,7
307507,2
307505,1
307503,1
307502,3
307501,0
307500,8
307499,2
307497,0
307496,10
307495,1
307494,2
307493,5
307491,4
307490,3
307489,0
307488,1
307487,2
307486,3
307485,19
307483,0
307482,3
307481,1
307480,9
307478,1
307476,2
307475,4
307474,0
307473,4
307472,3
307471,2
307470,1
307469,0
307468,1
307467,0
307465,1
307464,1
307461,3
307460,1
307459,1
307458,1
307457,1
307456,2
307455,4
307454,3
307453,0
307452,2
307450,4
307449,1
307448,6
307447,2
307446,5
307445,1
307444,3
307443,3
307442,5
307441,1
307440,1
307439,2
307437,1
304975,6
304974,20
304973,7
304972,3
304970,2
304969,0
304968,0
304967,0
304966,1
304964,2
304963,8
304961,0
304960,4
304959,0
304957,3
