post_no,expected_comment_count
307436,1
307434,8
307433,4
307432,0
307431,6
307430,0
307429,8
307428,2
307427,2
307426,2
307425,0
307424,6
307423,5
307422,0
307421,2
307420,2
307419,6
307418,0
307417,2
307415,1
307414,1
307413,16
307412,1
307410,0
307409,12
307408,6
307407,3
307406,1
307405,2
307404,2
307402,19
307401,1
307400,0
307398,2
307397,0
307394,2
307393,1
307392,0
307391,1
307387,1
307386,3
307385,2
307384,0
307383,0
307382,1
307381,2
307380,0
307379,1
307378,2
307377,0
307376,0
307375,3
307373,2
307372,3
307371,0
307370,2
307369,2
307368,3
307366,4
307364,3
307363,0
307362,0
307361,1
307357,4
307356,0
307355,0
307354,3
307353,3
307351,0
307350,1
307349,3
307348,1
307347,2
307346,1
307345,0
307344,0
307343,10
307342,0
307339,12
307338,5
307335,2
307334,0
307333,2
307332,9
307331,0
307328,0
307327,0
307326,0
307325,9
307323,0
307322,6
307321,8
307320,0
307318,0
307315,1
307314,0
307313,0
307312,2
307311,0
307307,20
307306,31
307305,0
307304,4
307303,0
307302,4
307301,10
307300,2
307299,0
307298,1
307296,3
307295,3
307292,3
307289,0
307287,3
307286,7
307285,1
307284,0
307282,0
307281,0
307279,0
307278,0
307277,3
307275,1
307274,8
307273,0
307271,3
307270,16
307269,0
307268,0
307267,1
307265,0
307264,1
307263,0
307259,1
307258,1
307257,8
307256,1
307254,5
307253,0
307250,1
307249,1
307248,3
307247,3
307246,3
307245,7
307244,5
307243,2
307242,3
307241,2
307240,1
307239,1
307237,21
307236,0
307235,4
307234,1
307231,2
307229,0
307228,0
307227,0
307226,2
307224,2
307223,3
307221,0
307220,1
307218,11
307217,0
307216,2
307215,3
307213,1
307212,0
307211,1
307210,10
307209,1
307208,0
307207,1
307206,1
307204,4
307202,1
307201,2
307200,3
307198,2
307197,1
307196,0
307195,0
307194,2
307193,0
307192,3
307191,2
307190,0
307188,0
307187,1
307186,7
307183,9
307182,0
307181,3
307179,0
307178,16
307177,1
307176,9
307173,1
307172,6
307171,2
307170,10
307169,3
307168,6
307167,2
307166,0
307165,1
307164,3
307161,5
307160,1
307159,0
307158,0
307157,4
307156,3
307154,3
307151,2
307150,1
307149,0
307148,2
307147,8
307146,0
307145,6
307144,0
307143,0
307142,4
307141,0
307139,1
307138,18
307136,6
307135,3
307134,4
307133,1
307132,13
307131,17
307130,1
307128,1
307127,0
307126,11
307125,0
307124,5
307123,4
307122,4
307121,1
307120,0
307119,1
307118,3
307116,13
307115,0
307114,1
307113,1
307111,0
307110,2
307109,2
307108,2
307107,4
307106,1
307105,6
307104,4
307103,2
307102,0
307101,2
307100,5
307099,2
307096,8
307095,4
307093,2
307091,0
307090,8
307089,2
307088,4
307087,8
307086,4
307085,2
307084,3
307083,2
307081,0
307079,2
307078,3
307077,2
307076,0
307075,0
307074,2
307073,3
307072,1
307070,2
307069,0
307068,1
307067,0
307066,0
307065,3
307064,4
307063,11
307062,1
307061,1
307060,4
307059,3
307058,6
307057,5
307056,4
307055,6
307054,0
307053,2
307052,4
307051,8
307050,4
307049,0
307048,0
307047,2
307046,0
307045,1
307043,1
307042,0
307041,10
307040,3
307039,3
307038,0
307037,2
307035,3
307034,1
307033,5
307032,4
307031,2
307030,5
307028,6
307027,2
307026,4
307025,0
307022,3
307021,1
307020,0
307019,0
307018,25
307017,3
307014,3
307013,1
307010,5
307009,2
307008,1
307005,0
307004,3
307002,2
307001,2
307000,7
306999,3
306998,0
306997,2
306996,0
306994,12
306993,12
306992,0
306991,3
306989,3
306988,4
306987,5
306986,6
306985,4
306984,1
306983,2
306982,18
306981,3
306980,1
306979,7
306978,0
306977,8
306976,0
306975,0
306974,12
306973,3
306972,2
306971,0
306970,3
306969,3
306967,0
306966,4
306964,2
306963,2
306962,1
306961,1
306960,7
306959,0
306957,1
306956,1
306955,0
306954,4
306952,2
306951,3
306949,4
306948,1
306947,2
306945,21
306944,2
306943,2
306942,4
306941,1
306939,1
306938,1
306936,0
306935,3
306934,15
306933,0
306932,1
306929,0
306928,4
306927,4
306926,11
306925,2
306924,2
306922,4
306921,0
306919,2
306918,0
306917,2
306916,3
306914,2
306913,1
306912,4
306911,2
306910,4
306908,0
306907,6
306905,4
306903,2
306902,3
306901,3
306900,4
306899,6
306898,0
306897,3
306896,0
306895,1
306894,5
306893,0
306892,2
306891,0
306890,1
306889,5
306888,2
306887,0
306886,7
306885,14
306884,0
306882,0
306881,2
306880,3
306879,8
306878,3
306877,2
306876,3
306874,4
306873,7
306872,0
306871,3
306870,9
306869,13
306867,3
306866,2
306865,30
306864,3
306863,1
306861,4
306859,3
306858,2
306857,7
306856,0
306855,1
306854,2
306852,3
306851,3
306850,13
306849,4
306848,4
306847,0
306845,4
306843,2
306842,0
306841,2
306840,4
306839,10
306838,2
306837,1
306836,7
306835,2
306834,8
306832,2
306831,5
306830,0
306829,2
306828,6
306827,0
306826,2
306825,1
306823,8
306822,0
306821,0
306820,7
306819,10
306818,2
306817,0
306816,1
306815,1
306814,2
306813,1
306812,14
306811,3
306809,2
306808,3
306807,3
306806,1
306804,5
306803,3
306802,8
306800,0
306798,2
306797,3
306796,3
306795,5
306794,2
306793,0
306792,0
306791,3
306790,3
306789,1
306788,6
306787,2
306786,0
306784,2
306780,1
306779,0
306778,5
306777,5
306776,2
306775,2
306774,2
306773,3
306772,1
306771,4
306769,3
306767,1
306766,0
306765,2
306764,0
306761,1
306760,5
306759,0
306758,2
306757,7
306756,20
306755,2
306754,0
306753,2
306752,3
306750,5
306749,6
306748,0
306747,2
306745,2
306744,0
306743,1
306742,1
306741,4
306740,2
306739,0
306738,0
306737,2
306736,5
306735,4
306734,1
306733,2
306732,2
306730,2
306729,1
306728,1
306727,2
306726,2
306725,2
306724,2
306722,3
306720,0
306719,1
306717,4
306715,1
306714,1
306713,2
306712,5
306711,1
306710,0
306709,0
306708,2
306707,2
306706,0
306705,1
306704,2
306703,0
306701,3
306700,1
306698,7
306695,0
306694,4
306693,8
306691,3
306690,1
306688,1
306687,2
306685,1
306683,3
306681,0
306680,0
306679,1
306678,4
306677,7
306675,3
306674,0
306672,0
306671,5
306670,2
306669,25
306667,0
306666,1
306665,0
306664,1
306660,0
306659,0
306658,3
306657,1
306655,4
306654,15
306652,4
306650,0
306648,2
306646,1
306645,17
306642,1
306641,9
306640,6
306639,3
306637,0
306635,5
306632,8
306630,2
306629,1
306628,2
306627,0
306625,0
306623,3
306621,4
306620,0
306617,16
306615,0
306613,2
306612,1
306611,3
306610,6
306609,0
306608,3
306605,2
306602,1
306601,0
306600,5
306599,11
306598,8
306597,0
306596,3
306595,6
306594,0
306593,5
306592,0
306590,3
306589,3
306588,6
306587,5
306586,0
306585,0
306584,0
306582,12
306581,1
306580,0
306579,2
306578,2
306576,1
306574,2
306573,5
306572,7
306571,0
306570,1
306569,6
306568,0
306567,7
306566,4
306565,7
306564,2
306563,2
306562,1
306561,0
306560,3
306559,0
