post_no,expected_comment_count
300039,4
300025,5
300024,0
300023,6
300021,4
300020,8
299992,6
299979,2
299978,1
299977,0
299976,1
299975,4
299941,9
299923,0
299922,5
299921,7
299918,2
299916,2
299884,0
299870,0
299869,1
299866,2
299865,5
299864,1
299836,10
299821,2
299820,1
299819,0
299818,1
299815,3
299789,1
299774,0
299773,0
299772,1
299771,2
299770,1
299743,1
299731,0
299730,4
299729,0
299727,0
299726,6
299693,2
299661,2
299660,5
299657,2
299656,1
299655,0
299622,4
299607,0
299606,2
299605,2
299604,5
299603,2
299574,7
299561,0
299559,1
299558,2
299557,9
299556,5
299523,1
299508,4
299507,0
299506,2
299505,9
299504,1
299478,2
299465,5
299464,4
299463,3
299462,2
299461,4
299430,4
299416,0
299415,1
299414,11
299413,2
299412,1
299384,6
299370,4
299369,0
299368,1
299367,3
299366,0
299336,0
299315,6
299314,8
299313,1
299312,1
299310,1
299286,5
299271,0
299270,5
299268,1
299267,4
299265,0
299236,6
299220,0
299219,3
299218,0
299217,0
299216,3
299186,0
299170,1
299169,5
299167,0
299166,3
299164,1
299137,1
299124,5
299123,14
299122,9
299121,5
299120,0
299116,4
299114,1
299102,3
299093,3
299084,3
299080,2
299078,1
299077,7
299076,0
299073,3
299072,13
299071,16
299069,5
299066,5
299065,1
299064,10
299062,2
299061,2
299059,8
299058,11
299056,1
299055,1
299054,6
299052,7
299051,14
299048,2
299047,7
299042,1
299041,6
299039,1
299038,10
299035,27
299034,3
299033,5
299032,3
299031,9
299030,5
299029,1
299028,1
299027,1
299026,8
299023,7
299019,2
299017,5
299016,1
299015,5
299014,1
299013,16
299010,5
299005,2
299004,3
299002,4
299000,6
298998,0
298996,2
298994,1
298992,1
298991,1
298990,1
298989,2
298988,4
298987,1
298984,3
298983,6
298981,0
298980,1
298979,1
298978,4
298977,6
298976,2
298974,2
298970,2
298969,2
298968,6
298967,1
298966,4
298965,5
298964,18
298963,1
298962,1
298961,2
298960,1
298959,1
298957,2
298956,1
298955,2
298954,4
298953,1
298952,1
298947,12
298945,1
298944,3
298943,1
298941,1
298940,1
298939,0
298938,4
298937,5
298936,4
298935,0
298934,1
298933,9
298932,4
298931,5
298929,6
298926,1
298925,3
298924,1
298923,5
298918,12
298917,5
298914,34
298913,15
298912,1
298911,2
298910,1
298907,1
298906,1
298905,4
298904,1
298903,1
298900,1
298895,3
298892,1
298891,2
298889,3
298888,12
298887,7
298885,4
298884,1
298883,1
298881,1
298879,27
298878,8
298877,3
298876,1
298873,8
298872,2
298871,2
298870,2
298868,1
298867,4
298866,3
298865,6
298864,5
298863,2
298859,3
298858,4
298856,3
298855,9
298854,4
298852,16
298851,5
298850,1
298849,4
298848,0
298847,4
298846,3
298845,2
298841,6
298840,2
298839,7
298838,10
298837,1
298835,1
298834,10
298833,3
298832,2
298831,11
298830,0
298829,3
298827,12
