post_no,expected_comment_count
296166,1
296068,7
295941,1
295927,2
295917,2
295913,1
295906,1
295900,3
295895,5
295891,7
295880,4
295877,5
295876,2
295875,1
295874,5
295871,7
295858,5
295857,3
295855,12
295852,1
295849,2
295843,2
295841,7
295831,3
295829,1
295828,6
295827,3
295826,2
295825,4
295819,1
295796,4
295784,2
295783,1
295779,1
295753,3
295738,3
295737,1
295735,4
295734,2
295695,1
295694,4
295692,4
295647,1
295646,2
295645,1
295603,1
295602,2
295601,1
295599,2
295570,1
295555,1
295552,7
295551,2
295550,3
295525,2
295512,2
295509,1
295507,2
295478,2
295458,5
295430,2
295414,3
295413,1
295412,5
295375,12
295359,1
295357,9
295356,2
295355,3
295328,1
295313,3
295312,2
295311,1
295310,1
295309,1
295280,3
295272,8
295266,5
295265,2
295264,6
295262,1
295261,2
295258,2
295256,3
295252,1
295235,1
295232,3
295230,12
295229,10
295225,2
295222,7
295220,6
295215,3
295213,7
295212,1
295211,3
295209,12
295202,9
295198,4
295197,12
295184,3
295179,11
295175,2
295174,7
295172,1
295168,4
295166,5
295165,5
295164,9
295162,11
295161,4
295160,24
295159,4
295158,1
295154,1
295153,5
295139,3
295136,7
295134,10
295131,3
295130,3
295128,3
295127,1
295124,6
295122,4
295121,1
295120,1
295118,2
295117,9
295116,1
295115,5
295114,1
295110,2
295109,7
295096,2
295095,4
295094,15
295093,4
295090,4
295087,4
295086,2
295082,3
295081,10
295078,3
295075,6
295073,8
295072,1
295071,8
295070,4
295068,3
295067,2
295064,2
295062,1
295061,1
295057,2
295051,1
295048,3
295047,1
295046,2
295045,9
295044,1
295042,1
295040,14
295038,5
295033,2
295031,2
295028,2
295025,1
295024,7
295022,1
295021,1
295020,3
295019,1
295018,3
295017,1
295014,5
295010,2
295009,3
295003,4
294997,4
294994,3
294993,4
294992,2
294991,1
294989,3
294988,4
294985,2
294983,1
294981,1
294979,2
294974,5
294971,2
294970,1
294969,2
294968,1
294967,1
294966,2
294964,2
294963,10
294955,7
294950,1
294946,1
294935,18
294931,1
294930,1
294929,4
294928,3
294925,5
294924,1
294922,6
294921,1
294919,1
294918,2
294917,5
294916,1
294915,2
294912,2
294910,2
294909,13
294907,4
294906,2
294899,3
294896,1
294889,5
294887,3
294884,1
294883,2
294882,10
294879,1
294877,1
294876,4
294874,1
294873,8
294870,4
294865,1
294864,1
294861,4
294860,1
294858,1
294853,2
294851,1
294849,7
294847,2
294845,5
294844,1
294842,2
294840,7
294836,4
294834,4
294833,5
294828,1
294827,2
294824,2
294822,2
294819,1
294818,7
294816,1
294815,1
294814,3
294811,1
294810,2
294809,7
294807,3
294806,7
294805,2
294804,1
294802,1
294801,4
294798,8
294795,4
294792,1
294790,2
294789,4
294786,36
294785,8
294780,3
294776,2
294775,2
294770,1
294767,2
294765,3
294760,1
294758,1
294757,13
294755,2
294754,2
294752,14
294750,2
294749,2
294747,20
294746,4
294745,19
294743,2
294742,2
294739,4
294737,4
294732,3
294730,5
294728,11
294727,3
294725,6
