post_no,expected_comment_count
292815,100
283173,19
283138,7
283107,6
283076,1
283034,3
283003,1
282975,2
282938,1
282891,3
282818,2
269751,5
267328,6
266962,2
266797,4
266613,9
266457,3
266314,4
266112,3
265976,6
265788,1
265727,4
265712,2
265703,7
265691,5
265681,7
265665,2
265659,4
265653,1
265581,2
265577,2
261497,106
253645,5
253529,4
253515,10
253510,2
253496,6
253428,8
253417,2
253410,3
253398,4
253397,5
253393,3
253389,3
253385,1
253384,8
253381,5
253374,8
253373,6
253367,4
253362,10
253346,1
253333,3
253309,6
253300,3
253296,2
253261,2
253243,9
253240,3
253237,1
253224,10
253187,5
253172,3
253164,3
253153,1
253149,4
253137,11
253136,11
253135,2
252968,1
252953,1
252948,1
252608,2
252344,5
252247,5
252158,3
252072,4
251967,8
251821,6
251682,2
251546,24
247102,8
238811,9
238319,2
238083,1
237354,14
236330,3
235963,7
235667,2
235348,5
235099,1
234827,1
234680,7
232041,123
222800,4
222707,1
222668,3
222648,6
222645,4
222622,1
222421,6
222388,2
222337,4
222301,2
222290,4
222273,2
222252,1
222193,1
222162,1
222158,2
222146,2
222145,2
222123,4
222119,4
222115,5
222108,5
222101,3
222080,2
222059,5
222028,2
222018,2
222002,1
221967,9
221961,2
221958,4
221945,3
221933,3
221928,2
221912,2
221909,5
221887,12
221876,5
221806,1
221787,3
221781,3
221742,2
221732,2
221716,2
221714,3
221699,2
221649,2
221640,4
221636,2
221577,2
221576,1
221575,1
221337,1
221243,3
221132,2
221024,3
220901,1
220627,2
220238,4
