post_no,expected_comment_count
292815,100
283193,1
283192,2
283190,8
283188,2
283182,4
283181,1
283177,5
283174,1
283173,19
283172,4
283171,3
283170,8
283168,1
283164,2
283163,1
283160,1
283157,1
283155,1
283153,1
283152,5
283149,2
283148,7
283147,12
283144,1
283143,4
283142,2
283141,2
283140,1
283138,7
283133,1
283132,8
283131,3
283129,14
283127,3
283126,1
283125,5
283123,1
283122,1
283121,1
283118,2
283117,3
283115,1
283114,11
283113,1
283112,2
283110,3
283109,7
283108,1
283107,6
283105,1
283104,1
283103,1
283102,1
283100,1
283099,2
283098,1
283096,1
283095,3
283091,1
283090,1
283089,1
283088,3
283087,1
283083,1
283081,2
283079,1
283078,3
283077,8
283076,1
283074,4
283071,2
283070,1
283066,1
283065,1
283062,2
283060,10
283058,1
283056,5
283051,3
283050,2
283049,3
283046,1
283045,2
283044,3
283043,1
283042,6
283039,1
283037,3
283034,3
283033,1
283032,6
283031,4
283030,2
283029,1
283028,2
283024,4
283023,4
283018,6
283017,1
283015,5
283014,1
283013,12
283012,10
283011,1
283010,2
283009,2
283008,1
283006,4
283003,1
283002,2
283000,2
282998,5
282997,1
282994,2
282993,1
282992,1
282990,5
282989,12
282987,2
282986,5
282984,2
282983,1
282982,1
282981,2
282980,1
282979,10
282978,1
282977,3
282975,2
282974,2
282973,3
282970,1
282967,1
282964,3
282962,2
282961,3
282958,10
282955,2
282954,1
282953,7
282950,3
282949,1
282948,1
282946,7
282945,3
282944,7
282943,4
282941,5
282938,1
282936,4
282933,3
282932,8
282931,2
282929,2
282928,16
282926,2
282924,2
282922,3
282921,12
282920,3
282917,5
282904,3
282902,6
282900,2
282898,7
282897,1
282896,3
282894,2
282891,3
282889,2
282887,1
282886,1
282884,2
282880,2
282872,5
282869,7
282865,2
282851,2
282850,9
282849,4
282842,3
282841,5
282838,4
282835,2
282832,2
282826,1
282824,1
282821,1
282818,2
282817,4
282804,3
282803,1
282794,2
282780,1
282775,2
282758,6
282747,1
282746,1
282741,2
282735,1
282734,4
269830,3
269778,5
269765,1
269763,3
269759,3
269758,2
269753,1
269751,5
269748,1
269705,4
269696,1
269685,1
269649,4
269647,9
269621,1
269605,2
269576,9
269575,4
269559,9
269558,3
269556,1
269555,4
269529,4
269502,6
269457,3
269437,2
269416,4
267328,6
267255,11
267254,5
267236,2
267203,3
267173,3
267170,3
267149,8
267127,4
267110,4
267080,4
267078,4
267057,21
267055,27
267033,1
267032,2
267031,5
267030,1
266982,3
266981,5
266962,2
266955,2
266942,4
266935,2
266929,3
266917,3
266900,1
266888,2
266886,7
266885,2
266883,2
266881,1
266876,2
266860,6
266853,2
266843,2
266841,1
266810,2
266807,8
266806,6
266797,4
266796,4
266795,20
266791,2
266789,4
266754,5
266737,1
266731,1
266728,1
266727,1
266706,5
266684,2
266676,1
266674,2
266668,2
266665,7
266652,3
266628,2
266621,5
266618,2
266613,9
266611,2
266601,3
266598,2
266585,2
266573,6
266572,2
266570,5
266566,2
266564,1
266526,3
266525,2
266512,4
266508,1
266506,2
266505,1
266486,2
266477,1
266470,5
266459,1
266457,3
266456,1
266455,1
266452,6
266445,8
266428,6
266422,10
266417,4
266414,2
266412,1
266399,2
266387,1
266372,2
266365,2
266362,1
266360,2
266331,3
266327,4
266322,5
266317,3
266314,4
266309,4
266304,4
266285,1
266271,4
266258,3
266251,13
266232,3
266224,6
266213,8
266201,6
266192,3
266181,4
266153,2
266152,2
266140,2
266131,4
266129,2
266125,4
266119,12
266112,3
266096,14
266092,3
266084,7
266082,6
266081,6
266072,3
266071,7
266062,7
266054,2
266053,5
266039,2
266030,3
266024,3
266020,3
266018,1
266011,1
265990,10
265989,2
265985,1
265976,6
265971,2
265927,2
265926,4
265925,1
265923,5
265914,1
265913,7
265903,4
265897,5
265895,3
265883,11
265878,5
265876,1
265861,1
265859,2
265852,7
265834,8
265797,1
265789,2
265788,1
265779,6
265770,10
265765,1
265763,1
265751,5
265748,7
265747,4
265738,8
265735,2
265731,4
265727,4
265712,2
265703,7
265691,5
265681,7
265665,2
265659,4
265653,1
265581,2
265577,2
261497,106
253645,5
253529,4
253515,10
253510,2
253496,6
253428,8
253417,2
253410,3
253398,4
253397,5
253393,3
253389,3
253385,1
253384,8
253381,5
253374,8
253373,6
253367,4
253362,10
253346,1
253333,3
253309,6
253300,3
253296,2
253261,2
253243,9
253240,3
253237,1
253224,10
253188,7
253187,5
253172,3
253164,3
253153,1
253149,4
253141,5
253138,7
253137,11
253136,11
253135,2
253080,12
253047,3
253045,2
252997,2
252968,1
252953,1
252948,1
252898,8
252897,4
252888,5
252870,3
252853,3
252832,17
252743,7
252709,18
252708,8
252682,9
252644,2
252608,2
252592,1
252588,1
252562,1
252551,2
252508,4
252501,8
252500,2
252485,2
252460,5
252455,5
252435,2
252434,2
252431,3
252401,3
252400,1
252363,12
252353,3
252349,5
252345,8
252344,5
252341,3
252333,8
252325,4
252323,5
252322,4
252321,4
252313,3
252307,4
252299,7
252295,3
252294,11
252282,4
252280,1
252271,3
252260,4
252254,5
252252,5
252250,2
252248,2
252247,5
252243,5
252235,5
252231,3
252228,4
252224,12
252223,16
252217,5
252214,2
252204,1
252201,10
252200,21
252189,7
252187,6
252184,6
252183,1
252177,6
252173,2
252171,3
252167,14
252158,3
252156,8
252152,3
252150,3
252149,2
252141,2
252140,6
252138,6
252124,3
252119,3
252118,2
252116,3
252115,3
252111,3
252102,20
252096,1
252088,4
252087,2
252077,20
252074,2
252072,4
252071,5
252069,1
252067,7
252066,1
252064,5
252057,3
252049,2
252046,1
252045,6
252037,3
252026,4
252021,1
252019,4
251992,1
251982,1
251977,5
251976,4
251973,3
251968,7
251967,8
251965,5
251946,1
251941,1
251936,6
251932,1
251931,12
251924,2
251914,2
251906,3
251889,3
251887,2
251883,2
251878,3
251859,8
251857,1
251850,4
251837,1
251833,6
251826,1
251821,6
251809,4
251793,1
251790,1
251788,8
251783,1
251782,2
251775,4
251774,9
251770,3
251765,1
251762,2
251743,3
251742,9
251735,1
251725,3
251720,2
251709,3
251686,1
251684,7
251682,2
251674,5
251672,3
251671,4
251669,3
251660,1
251655,4
251653,1
251648,4
251647,8
251641,4
251622,5
251617,2
251603,2
251589,3
251586,2
251571,8
251564,3
251561,1
251547,1
251546,24
247102,8
239448,2
239437,1
239421,1
239377,2
239362,2
239355,4
239271,4
239241,4
239232,3
239223,3
239183,2
239167,3
238979,5
238932,2
238909,1
238888,5
238870,1
238833,4
238811,9
238748,5
238698,1
238695,13
238676,9
238662,3
238575,1
238561,1
238548,2
238510,3
238504,3
238499,1
238491,6
238460,1
238453,1
238447,1
238417,2
238416,1
238415,1
238394,1
238319,2
238315,3
238287,3
238274,5
238258,5
238241,2
238234,3
238213,3
238202,4
238200,8
238195,6
238159,4
238150,2
238149,8
238124,14
238116,10
238104,4
238092,2
238087,5
238084,2
238083,1
238070,2
237959,1
237957,2
237927,1
237910,3
237908,2
237905,1
237875,5
237808,4
237775,8
237721,4
237717,1
237696,2
237682,8
237680,3
237554,1
237509,5
237472,1
237465,1
237354,14
237307,2
237265,1
237135,4
237106,8
236990,4
236973,1
236850,2
236848,2
236820,7
236764,1
236739,3
236718,7
236598,7
236585,7
236560,2
236524,4
236509,3
236398,3
236375,6
236330,3
236263,2
236233,2
236188,2
236185,4
236171,4
236169,4
236145,5
236140,13
236132,4
236120,3
236108,2
236088,6
236072,3
236045,1
236032,4
236013,2
236003,3
235990,1
235965,3
235963,7
235936,1
235921,2
235903,11
235889,2
235887,3
235858,3
235830,1
235823,2
235821,5
235815,7
235814,1
235788,1
235755,4
235744,2
235701,2
235693,1
235681,2
235673,2
235670,6
235667,2
235653,1
235651,2
235642,6
235606,2
235596,4
235584,4
235558,1
235521,1
235495,3
